Ceres,939300,4.60 yrs,2.768 AU,0.0758,Sol
Pallas,205000,4.61 yrs,2.772 AU,0.2310,Sol
Juno,20000,4.36 yrs,2.670 AU,0.2563,Sol
Vesta,259000,3.63 yrs,2.362 AU,0.0889,Sol
Lutetia,1700,3.80 yrs,2.435 AU,0.1646,Sol
Eugenia,6100,4.49 yrs,2.721 AU,0.0835,Sol
Siwa,1500,4.51 yrs,2.732 AU,0.2161,Sol
Kleopatra,,4.67 yrs,2.794 AU,0.2504,Sol
Ida,100,4.84 yrs,2.861 AU,0.0412,Sol
Mathilde,103.3,4.31 yrs,2.647 AU,0.2655,Sol
Eros,6.69,1.76 yrs,1.458 AU,0.2227,Sol
Icarus,0.001,1.12 yrs,1.078 AU,0.8269,Sol
Geographos,0.004,1.39 yrs,1.245 AU,0.3354,Sol
Apollo,0.002,1.81 yrs,1.470 AU,0.5599,Sol
Chiron,4000,50.7 yrs,13.637 AU,0.3827,Sol
Shipka,,5.25 yrs,3.017 AU,0.1280,Sol
Rodari,,3.25 yrs,2.194 AU,0.0566,Sol
Steins,,3.64 yrs,2.363 AU,0.1455,Sol
McAuliffe,,2.57 yrs,1.879 AU,0.3690,Sol
Mimistrobell,,3.38 yrs,2.250 AU,0.0827,Sol
Toutatis,0.05,3.98 yrs,2.534 AU,0.6294,Sol
Castalia,0.0005,1.10 yrs,1.063 AU,0.4831,Sol
Otawara,0.2,3.19 yrs,2.168 AU,0.1441,Sol
AnneFrank,,3.29 yrs,2.213 AU,0.0635,Sol
Braille,,3.58 yrs,2.341 AU,0.4333,Sol
Itokawa,0.000035,1.52 yrs,1.324 AU,0.2801,Sol
Bennu,0.000073,1.20 yrs,1.126 AU,0.2037,Sol
