11 Com b,19.4,0.892621492,1.29,0.231,11 Com
11 UMi b,14.74,1.413333251,1.53,0.08,11 UMi
14 And b,4.8,0.50880219,0.83,0,14 And
14 Her b,4.66,4.855304641,2.93,0.37,14 Her
16 Cyg B b,1.78,2.186173854,1.66,0.68,16 Cyg B
18 Del b,10.3,2.719507187,2.6,0.08,18 Del
1RXS J160929.1-210524 b,8,0,330,,1RXS J160929.1-210524
24 Boo b,0.91,0.083095414,0.19,0.042,24 Boo
24 Sex b,1.99,1.239698836,1.333,0.09,24 Sex
24 Sex c,0.86,2.417522245,2.08,0.29,24 Sex
2MASS J01225093-2439505 b,24.5,0,52,,2MASS J01225093-2439505
2MASS J02192210-3925225 b,13.9,0,156,,2MASS J02192210-3925225
2MASS J04414489+2301513 b,7.5,0,15,,2MASS J04414489+2301513
2MASS J12073346-3932539 b,4,0,46,,2MASS J12073346-3932539
2MASS J19383260+4603591 b,1.9,1.138945927,0.92,,2MASS J19383260+4603591
2MASS J21402931+1625183 A b,20.95,20.0862423,,0.26,2MASS J21402931+1625183 A
2MASS J22362452+4751425 b,12.5,0,230,,2MASS J22362452+4751425
30 Ari B b,13.82,0.917453826,0.99,0.29,30 Ari B
4 UMa b,7.1,0.737303217,0.87,0.432,4 UMa
42 Dra b,3.88,1.311704312,1.19,0.38,42 Dra
47 UMa b,2.53,2.951403149,2.1,0.032,47 UMa
47 UMa c,0.54,6.546201232,3.6,0.098,47 UMa
47 UMa d,1.64,38.33538672,11.6,0.16,47 UMa
51 Eri b,,32,12,0.45,51 Eri
51 Peg b,0.472,0.011583258,0.0527,0.013,51 Peg
55 Cnc b,0.8306,0.040113676,0.115227,0.0034,55 Cnc
55 Cnc c,0.1714,0.121608487,0.241376,0.02,55 Cnc
55 Cnc d,3.878,13.21013005,5.503,0.019,55 Cnc
55 Cnc e,0.02542,0.002016534,0.01544,,55 Cnc
55 Cnc f,0.141,0.717316906,0.788,0.305,55 Cnc
6 Lyn b,2.01,2.55797399,2.11,0.073,6 Lyn
61 Vir b,0.016,0.011540041,0.050201,0.12,61 Vir
61 Vir c,0.057,0.104095825,0.2175,0.14,61 Vir
61 Vir d,0.072,0.336783025,0.476,0.35,61 Vir
7 CMa b,2.46,2.179329227,1.93,0.22,7 CMa
70 Vir b,7.416,0.319474333,0.481,0.3988,70 Vir
75 Cet b,3,1.89431896,2.1,0.117,75 Cet
8 UMi b,1.31,0.255715264,0.49,0.06,8 UMi
81 Cet b,5.3,2.608350445,2.5,0.206,81 Cet
91 Aqr b,3.2,0.496646133,0.7,0.027,91 Aqr
AB Pic b,13.5,0,260,,AB Pic
BD+03 2562 b,6.4,1.319370294,1.3,0.2,BD+03 2562
BD+14 4559 b,1.04,0.736317591,0.78,0.29,BD+14 4559
BD+15 2375 b,1.061,0.419493498,0.576,0.001,BD+15 2375
BD+15 2940 b,1.11,0.376399726,0.539,0.26,BD+15 2940
BD+20 2457 b,55.59,1.039370294,1.05,0.15,BD+20 2457
BD+20 2457 c,12.47,1.702915811,2.01,0.18,BD+20 2457
BD+20 274 b,4.2,1.583025325,1.3,0.21,BD+20 274
BD+20 594 b,0.07,0.114128679,,0,BD+20 594
BD+48 738 b,0.91,1.074880219,1,0.2,BD+48 738
BD+48 740 b,1.7,2.006844627,1.7,0.76,BD+48 740
BD+49 828 b,1.6,7.091033539,4.2,0.35,BD+49 828
BD-06 1339 b,0.027,0.010603149,0.0428,0,BD-06 1339
BD-06 1339 c,0.17,0.344804928,0.435,0.31,BD-06 1339
BD-08 2823 b,0.04,0.015331964,0.06,0.15,BD-08 2823
BD-08 2823 c,0.33,0.650513347,0.68,0.19,BD-08 2823
BD-10 3166 b,0.59,0.009548994,0.04,0.02,BD-10 3166
BD-11 4672 b,0.53,4.563997262,2.28,0.05,BD-11 4672
BD-13 2130 b,9.78,1.95564679,1.66,0.21,BD-13 2130
BD-17 63 b,5.1,1.794934976,1.34,0.54,BD-17 63
CFBDSIR J145829+101343 b,10.5,27.48117728,2.6,,CFBDSIR J145829+101343
CHXR 73 b,12.569,0,210,,CHXR 73
CI Tau b,11.6,0.024610815,,0.25,CI Tau
CT Cha b,17,0,440,,CT Cha
CoRoT-1 b,1.03,0.004131296,,0,CoRoT-1
CoRoT-10 b,2.75,0.036250787,0.1055,0.53,CoRoT-10
CoRoT-11 b,2.33,0.008198029,0.0436,0,CoRoT-11
CoRoT-12 b,0.917,0.007742757,0.04016,0.07,CoRoT-12
CoRoT-13 b,1.308,0.011047748,0.051,0,CoRoT-13
CoRoT-14 b,7.6,0.004140014,0.027,0,CoRoT-14
CoRoT-16 b,0.535,0.014653717,0.0618,0.33,CoRoT-16
CoRoT-17 b,2.43,0.010316496,0.0461,0,CoRoT-17
CoRoT-18 b,3.47,0.005202106,0.0295,0.08,CoRoT-18
CoRoT-19 b,1.11,0.01066976,0.0518,0.047,CoRoT-19
CoRoT-2 b,3.47,0.004772056,0.02798,0.0143,CoRoT-2
CoRoT-20 b,4.3,0.025305544,0.09,0.59,CoRoT-20
CoRoT-20 c,17,4.585900068,2.9,0.6,CoRoT-20
CoRoT-21 b,2.26,0.007459932,0.0417,0,CoRoT-21
CoRoT-22 b,0.038,0.026710418,0.092,0.077,CoRoT-22
CoRoT-23 b,2.8,0.009941958,0.048,0.16,CoRoT-23
CoRoT-24 b,0.018,0.013999726,0.056,0,CoRoT-24
CoRoT-24 c,0.088,0.032194387,0.098,0,CoRoT-24
CoRoT-25 b,0.27,0.013307844,0.0578,0,CoRoT-25
CoRoT-26 b,0.52,0.011511951,0.0526,0,CoRoT-26
CoRoT-27 b,10.39,0.009788693,0.0476,0.065,CoRoT-27
CoRoT-28 b,0.484,0.014260123,0.0603,0.047,CoRoT-28
CoRoT-29 b,0.85,0.007804435,0.0386,0.082,CoRoT-29
CoRoT-3 b,21.66,0.011654483,,0,CoRoT-3
CoRoT-4 b,0.72,0.02519384,0.09,0,CoRoT-4
CoRoT-5 b,0.467,0.011055157,0.04947,0.09,CoRoT-5
CoRoT-6 b,2.96,0.024330166,0.0855,0.1,CoRoT-6
CoRoT-7 b,0.01,0.002337007,,0,CoRoT-7
CoRoT-7 c,0.02643,0.010124572,0.046,0,CoRoT-7
CoRoT-8 b,0.22,0.017008323,0.063,0,CoRoT-8
CoRoT-9 b,0.84,0.260842316,0.4021,0.133,CoRoT-9
CoRoTID 223977153 b,0.15,0.018393895,0.071,,CoRoTID 223977153
DE CVn b,12.0293,11.21998631,5.75,0,DE CVn
DENIS-P J082303.1-491201 b,28.5,0.67449692,0.36,0.345,DENIS-P J082303.1-491201
DH Tau b,11,0,330,,DH Tau
DP Leo b,6.05,27.98083504,8.19,0.39,DP Leo
DS Tuc A b,,0.022281363,,0,DS Tuc A
EPIC 201238110 b,,0.07711321,,,EPIC 201238110
EPIC 201497682 b,,0.005836386,,,EPIC 201497682
EPIC 201615463 c,,0.010416537,,,K2-166
EPIC 201754305 d,,0.0074354,,,K2-16
EPIC 201833600 c,,0.010846023,,,K2-50
EPIC 201841433 b,,0.011415715,,,EPIC 201841433
EPIC 205950854 c,,0.022041676,,,K2-168
EPIC 206024342 b,,0.012341027,,,EPIC 206024342
EPIC 206032309 b,,0.007879918,,,EPIC 206032309
EPIC 206042996 b,,0.014502697,,,EPIC 206042996
EPIC 206215704 b,,0.006170349,,,EPIC 206215704
EPIC 206317286 b,,0.004332704,,,EPIC 206317286
EPIC 211822797 b,,0.057959921,0.131,0.06,EPIC 211822797
EPIC 211945201 b,,0.053366762,0.1493,,EPIC 211945201
EPIC 212297394 b,,0.006268118,,,EPIC 212297394
EPIC 212424622 b,,0.049550445,,,EPIC 212424622
EPIC 212499991 b,,0.095509925,,,EPIC 212499991
EPIC 212587672 b,,0.041845585,,,EPIC 212587672
EPIC 212737443 b,,0.037242984,0.098,0.2,EPIC 212737443
EPIC 212737443 c,,0.179466119,0.28,0.2,EPIC 212737443
EPIC 220554210 c,,0.001931034,,,K2-282
EPIC 220674823 b,,0.001564219,0.0134,,EPIC 220674823
EPIC 220674823 c,,0.036520408,0.1091,,EPIC 220674823
EPIC 246851721 b,3,0.016920561,0.07229,,EPIC 246851721
EPIC 248847494 b,13,9.993155373,4.5,0,EPIC 248847494
FU Tau b,16,0,800,,FU Tau
Fomalhaut b,,1520.958248,160,0.87,Fomalhaut
GJ 1132 b,0.00522,0.00445977,0.0153,0.22,GJ 1132
GJ 1132 c,0.00831,0.02444627,0.0476,0.27,GJ 1132
GJ 1148 b,0.30425,0.113292266,0.166,0.38,GJ 1148
GJ 1148 c,0.21414,1.458124572,0.912,0.342,GJ 1148
GJ 1214 b,0.0197,0.004326912,0.01411,,GJ 1214
GJ 1265 b,0.02328,0.009996167,0.026,0.04,GJ 1265
GJ 143 b,0.07142,0.097501793,0.1915,0.188,GJ 143
GJ 163 b,0.03335,0.023632635,0.0607,0.073,GJ 163
GJ 163 c,0.0214,0.070172704,0.1254,0.099,GJ 163
GJ 163 d,0.0925,1.653528159,1.0304,0.373,GJ 163
GJ 179 b,0.82,6.264202601,2.41,0.21,GJ 179
GJ 273 b,0.00909,0.05106037,0.091101,0.1,GJ 273
GJ 273 c,0.00371,0.012931964,0.036467,0.17,GJ 273
GJ 3021 b,3.37,0.366078029,0.49,0.511,GJ 3021
GJ 3138 b,0.0056,0.00334026,0.0197,0.19,GJ 3138
GJ 3138 c,0.01315,0.016355921,0.057,0.11,GJ 3138
GJ 3138 d,0.03304,0.705817933,0.698,0.32,GJ 3138
GJ 317 b,2.5,1.894592745,1.15,0.11,GJ 317
GJ 317 c,1.54,14.54346338,,0.308,GJ 317
GJ 328 b,2.3,11.22518823,4.5,0.37,GJ 328
GJ 3293 b,0.07406,0.083774675,0.14339,0.06,GJ 3293
GJ 3293 c,0.06636,0.335714168,0.36175,0.11,GJ 3293
GJ 3293 d,0.02391,0.131785079,0.19394,0.12,GJ 3293
GJ 3293 e,0.01032,0.036288296,0.08208,0.21,GJ 3293
GJ 3323 b,0.00636,0.014684736,0.03282,0.23,GJ 3323
GJ 3323 c,0.00727,0.110992471,0.1264,0.17,GJ 3323
GJ 3341 b,0.0208,0.038896646,0.089,0.31,GJ 3341
GJ 3470 b,0.04373,0.009135249,0.0355,,GJ 3470
GJ 357 b,0.00579,0.010761725,0.035,,GJ 357
GJ 357 c,0.0107,0.024982067,0.061,,GJ 357
GJ 357 d,0.01919,0.152391513,0.204,,GJ 357
GJ 3634 b,0.026,0.007243285,0.0287,0.08,GJ 3634
GJ 3779 b,0.02517,0.00827707,0.026,0.07,GJ 3779
GJ 3942 b,0.02246,0.01890486,0.0608,0.121,GJ 3942
GJ 3998 b,0.00777,0.007254675,0.029,0,GJ 3998
GJ 3998 c,0.0197,0.03761807,0.089,0.049,GJ 3998
GJ 411 b,0.00941,0.035463929,0.0785,0.22,GJ 411
GJ 4276 b,0.05213,0.036555784,0.082,0.37,GJ 4276
GJ 433 b,0.02,0.020180424,0.06,0.08,GJ 433
GJ 436 b,0.07,0.007238557,0.0291,0.13827,GJ 436
GJ 504 b,4,0,43.5,,GJ 504
GJ 536 b,0.01686,0.02384011,0.06661,0.08,GJ 536
GJ 581 b,0.0497,0.014698426,0.04061,0,GJ 581
GJ 581 c,0.0173,0.035356605,0.0721,0,GJ 581
GJ 581 e,0.0053,0.008621492,0.02815,0,GJ 581
GJ 625 b,0.00887,0.040049281,0.078361,0.13,GJ 625
GJ 649 b,0.328,1.638056126,1.135,0.3,GJ 649
GJ 667 C b,0.018,0.019713621,0.0505,0.13,GJ 667 C
GJ 667 C c,0.012,0.077043121,0.125,0.02,GJ 667 C
GJ 667 C e,0.008,0.170403833,0.213,0.02,GJ 667 C
GJ 667 C f,0.008,0.106847365,0.156,0.03,GJ 667 C
GJ 667 C g,0.014,0.701437372,0.549,0.08,GJ 667 C
GJ 674 b,0.035,0.012850924,0.039,0.2,GJ 674
GJ 676 A b,4.96,2.893360849,1.82,0.33,GJ 676 A
GJ 676 A c,6.8,20.08761123,6.6,,GJ 676 A
GJ 676 A d,0.014,0.009857632,,0.262,GJ 676 A
GJ 676 A e,0.025,0.096892539,,0.125,GJ 676 A
GJ 685 b,0.02832,0.066146475,0.1344,0,GJ 685
GJ 687 b,0.06,0.104421629,0.17,0.04,GJ 687
GJ 832 b,0.68,10.01232033,3.56,0.08,GJ 832
GJ 832 c,0.017,0.097686516,0.163,0.18,GJ 832
GJ 849 b,1,5.152635181,2.35,0.04,GJ 849
GJ 86 b,4.42,0.043161971,0.11,0.04,GJ 86
GJ 876 b,2.2756,0.167328131,0.208317,0.0324,GJ 876
GJ 876 c,0.7142,0.082376728,0.12959,0.25591,GJ 876
GJ 876 d,0.021,0.005305352,0.020807,0.207,GJ 876
GJ 876 e,0.046,0.340205339,0.3343,0.055,GJ 876
GJ 96 b,0.06186,0.202436687,0.291,0.44,GJ 96
GJ 9827 b,0.01545,0.003310012,0.0188,0,GJ 9827
GJ 9827 c,0.00264,0.009987942,0.03925,0,GJ 9827
GJ 9827 d,0.01271,0.016978699,0.05591,0,GJ 9827
GQ Lup b,20,0,100,,GQ Lup
GSC 06214-00210 b,16,0,320,,GSC 06214-00210
GU Psc b,11.3,0,2000,,GU Psc
Gl 378 b,0.04097,0.010464066,0.039435,0.109,Gl 378
Gl 49 b,0.01771,0.037921424,0.0905,0.363,Gl 49
Gl 686 b,0.02089,0.042522656,0.0917,0.077,Gl 686
HAT-P-1 b,0.525,0.012225324,0.05561,,HAT-P-1
HAT-P-11 b,0.07362,0.013382074,0.05254,0.218,HAT-P-11
HAT-P-11 c,1.59519,9.327857632,4.13,0.601,HAT-P-11
HAT-P-12 b,0.211,0.008796878,0.0384,0,HAT-P-12
HAT-P-13 b,0.851,0.007984257,,0.0133,HAT-P-13
HAT-P-13 c,14.28,1.221820671,,0.6616,HAT-P-13
HAT-P-14 b,3.44,0.01266987,,0.11,HAT-P-14
HAT-P-15 b,1.94,0.029742642,,0.19,HAT-P-15
HAT-P-16 b,4.193,0.007600164,0.0413,0.036,HAT-P-16
HAT-P-17 b,0.58,0.028305325,,0.35,HAT-P-17
HAT-P-17 c,3.4,15.2881588,5.6,0.39,HAT-P-17
HAT-P-18 b,0.197,0.015080145,0.0559,0.084,HAT-P-18
HAT-P-19 b,0.292,0.010975436,0.0466,0.067,HAT-P-19
HAT-P-2 b,8.62,0.015423726,0.06814,0.5172,HAT-P-2
HAT-P-20 b,7.246,0.007872189,0.0361,0.015,HAT-P-20
HAT-P-21 b,4.87,0.011292211,,0.23,HAT-P-21
HAT-P-22 b,2.47,0.008794579,,0.02,HAT-P-22
HAT-P-23 b,1.34,0.003320684,,0.11,HAT-P-23
HAT-P-24 b,0.75,0.009186146,,0.07,HAT-P-24
HAT-P-25 b,0.569,0.010000863,0.0466,0.023,HAT-P-25
HAT-P-26 b,0.07,0.011593484,,0.12,HAT-P-26
HAT-P-27 b,0.62,0.008321908,0.04,0,HAT-P-27
HAT-P-28 b,0.626,0.008917769,0.0434,0.051,HAT-P-28
HAT-P-29 b,0.88,0.01566924,,0.09,HAT-P-29
HAT-P-3 b,0.65,0.007938946,,0,HAT-P-3
HAT-P-30 b,0.83,0.007695003,,0.04,HAT-P-30
HAT-P-31 b,2.27,0.013704093,,0.25,HAT-P-31
HAT-P-32 b,0.68,0.005886402,0.03397,0.159,HAT-P-32
HAT-P-33 b,0.92,0.00951258,,0,HAT-P-33
HAT-P-34 b,7.01,0.014928542,,0.44,HAT-P-34
HAT-P-35 b,7.52,0.009984148,,0.03,HAT-P-35
HAT-P-36 b,1.8482,0.003634078,0.0241,,HAT-P-36
HAT-P-37 b,1.169,0.007658962,0.0379,0.058,HAT-P-37
