11 Com b,2007,
11 UMi b,2009,
14 And b,2008,
14 Her b,2002,
16 Cyg B b,1996,
18 Del b,2008,
1RXS J160929.1-210524 b,2008,1700
24 Boo b,2018,
24 Sex b,2010,
24 Sex c,2010,
2MASS J01225093-2439505 b,2013,
2MASS J02192210-3925225 b,2015,
2MASS J04414489+2301513 b,2010,
2MASS J12073346-3932539 b,2004,1150
2MASS J19383260+4603591 b,2015,
2MASS J21402931+1625183 A b,2009,2075
2MASS J22362452+4751425 b,2016,
30 Ari B b,2009,
4 UMa b,2006,
42 Dra b,2008,
47 UMa b,1996,
47 UMa c,2001,
47 UMa d,2009,
51 Eri b,2015,
51 Peg b,1995,
55 Cnc b,1996,
55 Cnc c,2004,
55 Cnc d,2002,
55 Cnc e,2004,
55 Cnc f,2007,
6 Lyn b,2008,
61 Vir b,2009,
61 Vir c,2009,
61 Vir d,2009,
7 CMa b,2011,
70 Vir b,1996,
75 Cet b,2012,
8 UMi b,2015,
81 Cet b,2008,
91 Aqr b,2013,
AB Pic b,2005,
BD+03 2562 b,2017,
BD+14 4559 b,2009,
BD+15 2375 b,2016,
BD+15 2940 b,2013,
BD+20 2457 b,2009,
BD+20 2457 c,2009,
BD+20 274 b,2012,
BD+20 594 b,2016,
BD+48 738 b,2011,
BD+48 740 b,2018,
BD+49 828 b,2015,
BD-06 1339 b,2013,
BD-06 1339 c,2013,
BD-08 2823 b,2009,
BD-08 2823 c,2009,
BD-10 3166 b,2000,
BD-11 4672 b,2014,
BD-13 2130 b,2007,
BD-17 63 b,2008,
CFBDSIR J145829+101343 b,2011,370
CHXR 73 b,2006,
CI Tau b,2019,
CT Cha b,2007,2600
CoRoT-1 b,2008,1898
CoRoT-10 b,2010,600
CoRoT-11 b,2010,1657
CoRoT-12 b,2010,1442
CoRoT-13 b,2010,1700
CoRoT-14 b,2010,1952
CoRoT-16 b,2011,
CoRoT-17 b,2011,1626
CoRoT-18 b,2011,1550
CoRoT-19 b,2011,2000
CoRoT-2 b,2008,
CoRoT-20 b,2011,
CoRoT-20 c,2018,
CoRoT-21 b,2012,
CoRoT-22 b,2014,885
CoRoT-23 b,2011,1660
CoRoT-24 b,2014,1070
CoRoT-24 c,2014,850
CoRoT-25 b,2013,1330
CoRoT-26 b,2013,1600
CoRoT-27 b,2014,1500
CoRoT-28 b,2015,
CoRoT-29 b,2015,
CoRoT-3 b,2008,
CoRoT-4 b,2008,1074
CoRoT-5 b,2009,1438
CoRoT-6 b,2009,1017
CoRoT-7 b,2009,
CoRoT-7 c,2009,
CoRoT-8 b,2010,
CoRoT-9 b,2009,420
CoRoTID 223977153 b,2017,938
DE CVn b,2018,
DENIS-P J082303.1-491201 b,2013,
DH Tau b,2004,
DP Leo b,2009,
DS Tuc A b,2019,850
EPIC 201238110 b,2019,
EPIC 201497682 b,2019,
EPIC 201615463 c,2019,
EPIC 201754305 d,2019,
EPIC 201833600 c,2019,
EPIC 201841433 b,2019,
EPIC 205950854 c,2019,961
EPIC 206024342 b,2019,
EPIC 206032309 b,2019,
EPIC 206042996 b,2019,
EPIC 206215704 b,2019,
EPIC 206317286 b,2019,
EPIC 211822797 b,2016,
EPIC 211945201 b,2018,817
EPIC 212297394 b,2019,
EPIC 212424622 b,2019,
EPIC 212499991 b,2019,
EPIC 212587672 b,2019,
EPIC 212737443 b,2019,536
EPIC 212737443 c,2019,316
EPIC 220554210 c,2019,
EPIC 220674823 b,2016,2119
EPIC 220674823 c,2016,741
EPIC 246851721 b,2018,1401
EPIC 248847494 b,2018,183
FU Tau b,2008,2375
Fomalhaut b,2008,
GJ 1132 b,2015,529
GJ 1132 c,2018,300
GJ 1148 b,2010,
GJ 1148 c,2017,
GJ 1214 b,2009,
GJ 1265 b,2018,
GJ 143 b,2019,422
GJ 163 b,2013,
GJ 163 c,2013,
GJ 163 d,2013,
GJ 179 b,2009,
GJ 273 b,2017,
GJ 273 c,2017,
GJ 3021 b,2000,350
GJ 3138 b,2017,
GJ 3138 c,2017,
GJ 3138 d,2017,
GJ 317 b,2007,
GJ 317 c,2018,
GJ 328 b,2013,
GJ 3293 b,2015,
GJ 3293 c,2015,
GJ 3293 d,2017,
GJ 3293 e,2017,
GJ 3323 b,2017,
GJ 3323 c,2017,
GJ 3341 b,2015,
GJ 3470 b,2012,594
GJ 357 b,2019,525
GJ 357 c,2019,401
GJ 357 d,2019,220
GJ 3634 b,2010,
GJ 3779 b,2018,
GJ 3942 b,2017,590
GJ 3998 b,2016,
GJ 3998 c,2016,
GJ 411 b,2019,350
GJ 4276 b,2019,
GJ 433 b,2011,
GJ 436 b,2004,
GJ 504 b,2013,510
GJ 536 b,2016,
GJ 581 b,2005,
GJ 581 c,2007,
GJ 581 e,2009,
GJ 625 b,2017,
GJ 649 b,2009,
GJ 667 C b,2011,
GJ 667 C c,2011,
GJ 667 C e,2013,
GJ 667 C f,2013,
GJ 667 C g,2013,
GJ 674 b,2007,
GJ 676 A b,2010,
GJ 676 A c,2016,
GJ 676 A d,2012,
GJ 676 A e,2012,
GJ 685 b,2019,
GJ 687 b,2014,
GJ 832 b,2008,
GJ 832 c,2014,
GJ 849 b,2006,
GJ 86 b,1999,
GJ 876 b,1998,
GJ 876 c,2000,
GJ 876 d,2005,
GJ 876 e,2010,
GJ 96 b,2018,
GJ 9827 b,2017,
GJ 9827 c,2017,
GJ 9827 d,2017,
GQ Lup b,2004,2650
GSC 06214-00210 b,2010,2300
GU Psc b,2014,1050
Gl 378 b,2019,830
Gl 49 b,2019,
Gl 686 b,2018,
HAT-P-1 b,2006,1322
HAT-P-11 b,2008,
HAT-P-11 c,2018,
HAT-P-12 b,2009,963
HAT-P-13 b,2009,
HAT-P-13 c,2009,
HAT-P-14 b,2010,
HAT-P-15 b,2010,
HAT-P-16 b,2010,1626
HAT-P-17 b,2010,
HAT-P-17 c,2010,
HAT-P-18 b,2010,852
HAT-P-19 b,2010,1010
HAT-P-2 b,2007,
HAT-P-20 b,2010,970
HAT-P-21 b,2010,
HAT-P-22 b,2010,
HAT-P-23 b,2010,
HAT-P-24 b,2010,
HAT-P-25 b,2010,1182
HAT-P-26 b,2010,
HAT-P-27 b,2011,
HAT-P-28 b,2011,1384
HAT-P-29 b,2011,
HAT-P-3 b,2007,
HAT-P-30 b,2011,
HAT-P-31 b,2011,
HAT-P-32 b,2011,1836
HAT-P-33 b,2011,
HAT-P-34 b,2011,
HAT-P-35 b,2011,
HAT-P-36 b,2011,1781
HAT-P-37 b,2011,1271
HAT-P-38 b,2012,1082
HAT-P-39 b,2012,1752
HAT-P-4 b,2007,1686
HAT-P-40 b,2012,
HAT-P-41 b,2012,
HAT-P-42 b,2012,1428
HAT-P-43 b,2012,1361
HAT-P-44 b,2014,1108
HAT-P-44 c,2014,
HAT-P-45 b,2014,1652
HAT-P-46 b,2014,1458
HAT-P-49 b,2014,
HAT-P-5 b,2007,
HAT-P-50 b,2015,1862
HAT-P-51 b,2015,1192
HAT-P-52 b,2015,1218
HAT-P-53 b,2015,1778
HAT-P-54 b,2015,818
HAT-P-55 b,2015,1313
HAT-P-56 b,2015,
HAT-P-57 b,2015,
HAT-P-6 b,2007,
HAT-P-65 b,2016,1930
HAT-P-66 b,2016,1896
HAT-P-67 b,2017,1903
HAT-P-69 b,2019,1930
HAT-P-7 b,2008,
HAT-P-70 b,2019,2562
HAT-P-8 b,2008,
HAT-P-9 b,2008,1540
HATS-1 b,2012,1359
HATS-10 b,2015,1407
HATS-11 b,2016,1596
HATS-12 b,2016,1446
HATS-13 b,2015,1244
HATS-14 b,2015,1276
HATS-15 b,2016,1505
HATS-16 b,2016,1592
HATS-17 b,2016,814
HATS-18 b,2016,2069
HATS-2 b,2013,1577
HATS-22 b,2017,858
HATS-23 b,2017,1654
HATS-24 b,2017,2166
HATS-25 b,2016,1277
HATS-26 b,2016,1918
HATS-27 b,2016,1659
HATS-28 b,2016,1253
HATS-29 b,2016,1212
HATS-3 b,2013,1648
HATS-30 b,2016,1414
HATS-31 b,2016,1823
HATS-32 b,2016,1437
HATS-33 b,2016,1429
HATS-34 b,2016,1445
HATS-35 b,2016,2037
