11 Com b,,93.37
11 UMi b,,125.72
14 And b,,75.59
14 Her b,,17.94
16 Cyg B b,,21.15
18 Del b,,76.38
1RXS J160929.1-210524 b,,145.00
24 Boo b,,96.25
24 Sex b,,72.21
24 Sex c,,72.21
2MASS J01225093-2439505 b,,36.00
2MASS J02192210-3925225 b,1.440,39.40
2MASS J04414489+2301513 b,,140.00
2MASS J12073346-3932539 b,,64.42
2MASS J19383260+4603591 b,,400.77
2MASS J21402931+1625183 A b,0.920,25.00
2MASS J22362452+4751425 b,,74.00
30 Ari B b,,44.71
4 UMa b,,73.58
42 Dra b,,90.86
47 UMa b,,13.80
47 UMa c,,13.80
47 UMa d,,13.80
51 Eri b,,29.40
51 Peg b,,15.47
55 Cnc b,,12.59
55 Cnc c,,12.59
55 Cnc d,,12.59
55 Cnc e,0.170,12.59
55 Cnc f,,12.59
6 Lyn b,,54.74
61 Vir b,,8.51
61 Vir c,,8.51
61 Vir d,,8.51
7 CMa b,,19.82
70 Vir b,,17.91
75 Cet b,,83.15
8 UMi b,,163.32
81 Cet b,,101.53
91 Aqr b,,44.08
AB Pic b,,50.12
BD+03 2562 b,,2618.00
BD+14 4559 b,,49.42
BD+15 2375 b,,774.00
BD+15 2940 b,,431.61
BD+20 2457 b,,1670.85
BD+20 2457 c,,1670.85
BD+20 274 b,,1383.85
BD+20 594 b,0.230,180.39
BD+48 738 b,,892.17
BD+48 740 b,,678.94
BD+49 828 b,,447.59
BD-06 1339 b,,20.28
BD-06 1339 c,,20.28
BD-08 2823 b,,41.38
BD-08 2823 c,,41.38
BD-10 3166 b,,84.61
BD-11 4672 b,,27.30
BD-13 2130 b,,948.75
BD-17 63 b,,34.49
CFBDSIR J145829+101343 b,,23.10
CHXR 73 b,,191.05
CI Tau b,,158.00
CT Cha b,2.200,165.00
CoRoT-1 b,1.490,805.31
CoRoT-10 b,0.970,345.00
CoRoT-11 b,1.430,560.00
CoRoT-12 b,1.440,1150.00
CoRoT-13 b,0.885,1060.00
CoRoT-14 b,1.090,1340.00
CoRoT-16 b,1.170,840.00
CoRoT-17 b,1.020,920.00
CoRoT-18 b,1.310,870.00
CoRoT-19 b,1.290,770.00
CoRoT-2 b,1.466,200.00
CoRoT-20 b,,864.31
CoRoT-20 c,,864.31
CoRoT-21 b,1.300,1398.83
CoRoT-22 b,0.435,592.00
CoRoT-23 b,1.050,600.00
CoRoT-24 b,0.330,600.00
CoRoT-24 c,0.440,600.00
CoRoT-25 b,1.080,1000.00
CoRoT-26 b,1.260,1670.00
CoRoT-27 b,1.007,1035.15
CoRoT-28 b,0.955,560.00
CoRoT-29 b,0.900,765.00
CoRoT-3 b,1.010,680.00
CoRoT-4 b,1.190,741.60
CoRoT-5 b,1.388,904.65
CoRoT-6 b,1.166,657.24
CoRoT-7 b,0.150,160.64
CoRoT-7 c,,160.64
CoRoT-8 b,0.570,380.00
CoRoT-9 b,1.066,417.89
CoRoTID 223977153 b,0.570,586.20
DE CVn b,,30.55
DENIS-P J082303.1-491201 b,,20.77
DH Tau b,,140.00
DP Leo b,,305.06
DS Tuc A b,0.509,44.12
EPIC 201238110 b,0.167,159.98
EPIC 201497682 b,0.062,254.88
EPIC 201615463 c,0.109,481.00
EPIC 201754305 d,0.092,338.19
EPIC 201833600 c,0.089,259.33
EPIC 201841433 b,0.098,441.94
EPIC 205950854 c,0.117,245.56
EPIC 206024342 b,0.152,373.81
EPIC 206032309 b,0.090,162.09
EPIC 206042996 b,0.145,457.27
EPIC 206215704 b,0.080,110.22
EPIC 206317286 b,0.086,317.20
EPIC 211822797 b,0.177,187.19
EPIC 211945201 b,0.514,182.69
EPIC 212297394 b,0.118,423.35
EPIC 212424622 b,0.194,622.67
EPIC 212499991 b,0.143,285.61
EPIC 212587672 b,0.100,322.88
EPIC 212737443 b,0.231,347.45
EPIC 212737443 c,0.240,347.45
EPIC 220554210 c,0.132,502.28
EPIC 220674823 b,0.162,246.10
EPIC 220674823 c,0.244,246.10
EPIC 246851721 b,1.051,336.70
EPIC 248847494 b,1.110,560.00
FU Tau b,,140.00
Fomalhaut b,,7.70
GJ 1132 b,,12.62
GJ 1132 c,,12.62
GJ 1148 b,,11.02
GJ 1148 c,,11.02
